step,loss,lambda,raw_reward,mean_reward,sps
0,1.304453730583191,1.0,28072.0,13.945355415344238,474359
200,1.6862207651138306,0.8608757257461548,22600.0,14.365084648132324,5359
0,1.304453730583191,1.0,28072.0,13.945355415344238,481661
200,1.8667430877685547,0.8608757257461548,21576.0,14.469196319580078,4952
400,0.2825334370136261,0.5249999761581421,19440.0,14.44875431060791,5463
600,0.2514762580394745,0.18912428617477417,12872.0,14.116841316223145,5320
800,1.9216688871383667,0.05000000074505806,12344.0,14.044219970703125,5344
0,1.3033404350280762,1.0,70196.0,14.258785247802734,3873781
